"","id","w_retail_and_recreation_percent_change_from_baseline","w_grocery_and_pharmacy_percent_change_from_baseline","w_workplaces_percent_change_from_baseline"
"9983","20200308_JOHNSTOWN (PA) - ALTOONA (PA)",17.7680792874776,14.0258093056026,-0.580009519660519
"9984","20200309_JOHNSTOWN (PA) - ALTOONA (PA)",9.69602298702207,8.99709704137556,-4.15309846125713
"9985","20200310_JOHNSTOWN (PA) - ALTOONA (PA)",8.31968579741947,6.26438705756436,-4.63401207975001
"9986","20200311_JOHNSTOWN (PA) - ALTOONA (PA)",7.70316676616594,9.04029048410432,-4.14952052105351
"9987","20200312_JOHNSTOWN (PA) - ALTOONA (PA)",10.2512719772389,17.3592219694403,-5.42025805271848
"9988","20200313_JOHNSTOWN (PA) - ALTOONA (PA)",1.10686356766758,17.4839792718804,-6.97958651327643
"9989","20200314_JOHNSTOWN (PA) - ALTOONA (PA)",-5.57312390080191,15.8583063071785,-1.64671840629051
"9990","20200315_JOHNSTOWN (PA) - ALTOONA (PA)",2.39080895601056,17.3717884591596,-4.9810346311266
"9991","20200316_JOHNSTOWN (PA) - ALTOONA (PA)",4.74258192555303,27.9843920594199,-16.4605243342961
"9992","20200317_JOHNSTOWN (PA) - ALTOONA (PA)",-25.6005265394152,10.7405179878557,-25.632785818395
"9993","20200318_JOHNSTOWN (PA) - ALTOONA (PA)",-30.9219320608183,2.1319199057715,-28.6142426491548
"9994","20200319_JOHNSTOWN (PA) - ALTOONA (PA)",-30.6211134775804,6.63668376978557,-30.128266668818
"9995","20200320_JOHNSTOWN (PA) - ALTOONA (PA)",-40.9609398110052,0.815868521118049,-34.731173123363
"9996","20200321_JOHNSTOWN (PA) - ALTOONA (PA)",-50.0999080303984,-5.78279980207711,-28.2251816534091
"9997","20200322_JOHNSTOWN (PA) - ALTOONA (PA)",-43.8809101225724,-10.7286695064298,-28.8302569232672
"9998","20200323_JOHNSTOWN (PA) - ALTOONA (PA)",-46.4613539431294,-17.8200152207002,-43.5046052030054
"9999","20200324_JOHNSTOWN (PA) - ALTOONA (PA)",-41.1008035238879,-12.8061888550054,-44.7657813920218
"10000","20200325_JOHNSTOWN (PA) - ALTOONA (PA)",-45.7402638613249,-20.0301657604165,-45.7805718250319
"10001","20200326_JOHNSTOWN (PA) - ALTOONA (PA)",-40.8539458186101,-14.0000107566786,-45.6685625312616
"10002","20200327_JOHNSTOWN (PA) - ALTOONA (PA)",-47.184138201806,-19.8539942236636,-44.7726333962599
"10003","20200328_JOHNSTOWN (PA) - ALTOONA (PA)",-55.8701359644169,-24.8625511614524,-33.481455486175
"10004","20200329_JOHNSTOWN (PA) - ALTOONA (PA)",-45.523078453835,-20.4891317209072,-32.8813403897145
"10005","20200330_JOHNSTOWN (PA) - ALTOONA (PA)",-43.598208475187,-20.5990421177749,-45.2660570319097
"10006","20200331_JOHNSTOWN (PA) - ALTOONA (PA)",-41.1648622338394,-15.9474267335732,-46.5503224314396
"10007","20200401_JOHNSTOWN (PA) - ALTOONA (PA)",-39.6396996735348,-10.3772905002393,-46.9230803362538
"10008","20200402_JOHNSTOWN (PA) - ALTOONA (PA)",-46.1149364549214,-17.9077036642625,-47.9118799447107
"10009","20200403_JOHNSTOWN (PA) - ALTOONA (PA)",-46.8856363382115,-17.6099830044479,-47.4875706579322
"10010","20200404_JOHNSTOWN (PA) - ALTOONA (PA)",-55.5862255352792,-18.5757512195384,-34.2116739543164
"10011","20200405_JOHNSTOWN (PA) - ALTOONA (PA)",-48.7085020787281,-18.9197403875631,-37.2193851482539
"10012","20200410_JOHNSTOWN (PA) - ALTOONA (PA)",-50.8654005799898,-18.8225968846583,-55.6411537533865
"10013","20200411_JOHNSTOWN (PA) - ALTOONA (PA)",-48.7708353199199,-5.92018689806427,-33.7574812512971
"10014","20200406_JOHNSTOWN (PA) - ALTOONA (PA)",-45.6392139130435,-17.4505739130435,-49.2184243478261
"10015","20200407_JOHNSTOWN (PA) - ALTOONA (PA)",-45.2452817391304,-16.8024086956522,-50.173412173913
"10016","20200408_JOHNSTOWN (PA) - ALTOONA (PA)",-43.867267826087,-15.6746260869565,-50.3582330434783
"10017","20200409_JOHNSTOWN (PA) - ALTOONA (PA)",-46.0600956521739,-16.1921913043478,-50.7984504347826
"10018","20200215_WILKES BARRE (PA) - SCRANTON (PA)",8.95419925059733,0.59833480862279,-0.217742740577559
"10019","20200216_WILKES BARRE (PA) - SCRANTON (PA)",12.4018735066854,2.30120130712864,1.45414334489162
"10020","20200217_WILKES BARRE (PA) - SCRANTON (PA)",12.0937398920487,1.21565359759872,-18.4614763099572
"10021","20200218_WILKES BARRE (PA) - SCRANTON (PA)",-0.554880767771692,-2.14889686062841,1.017296160476
"10022","20200219_WILKES BARRE (PA) - SCRANTON (PA)",2.42840409176522,0.8659580840316,2.16439605199231
"10023","20200220_WILKES BARRE (PA) - SCRANTON (PA)",1.88026262370801,0.338431179410727,1.99921133022302
"10024","20200221_WILKES BARRE (PA) - SCRANTON (PA)",0.0912121554977272,-3.34136889113695,1.82944367167378
"10025","20200222_WILKES BARRE (PA) - SCRANTON (PA)",9.98170751998296,3.33838059805794,3.23530511869979
"10026","20200223_WILKES BARRE (PA) - SCRANTON (PA)",15.4185813261632,6.50504615548442,4.26456709683001
"10027","20200224_WILKES BARRE (PA) - SCRANTON (PA)",4.15580853626883,1.93818958689677,4.12957012505574
"10028","20200225_WILKES BARRE (PA) - SCRANTON (PA)",5.82893120270477,1.82884534751386,2.75194838039839
"10029","20200226_WILKES BARRE (PA) - SCRANTON (PA)",10.4725709303641,4.15747306210192,2.85002429236022
"10030","20200227_WILKES BARRE (PA) - SCRANTON (PA)",5.67386408258071,0.419351360704944,1.7450333770374
"10031","20200228_WILKES BARRE (PA) - SCRANTON (PA)",5.17882637950657,1.93326123272081,2.89563602723407
"10032","20200229_WILKES BARRE (PA) - SCRANTON (PA)",11.2432437289106,4.25700585013278,1.76245599089536
"10033","20200301_WILKES BARRE (PA) - SCRANTON (PA)",18.926975168549,9.50682182718482,3.9266956400205
"10034","20200302_WILKES BARRE (PA) - SCRANTON (PA)",11.1302023919656,6.75638156975235,4.00278862984433
"10035","20200303_WILKES BARRE (PA) - SCRANTON (PA)",10.914964093895,6.79516082873553,2.77757914983395
"10036","20200304_WILKES BARRE (PA) - SCRANTON (PA)",10.1090553932367,7.447599049603,2.59651454546665
"10037","20200305_WILKES BARRE (PA) - SCRANTON (PA)",11.4830619022582,8.08590377563177,2.47845167816949
"10038","20200306_WILKES BARRE (PA) - SCRANTON (PA)",1.26682994682303,0.380554132030642,1.80632799345105
"10039","20200307_WILKES BARRE (PA) - SCRANTON (PA)",13.6857087712059,6.67275994489295,2.00190545280294
"10040","20200308_WILKES BARRE (PA) - SCRANTON (PA)",17.9915389376585,9.23820888767612,3.02565739120018
"10041","20200309_WILKES BARRE (PA) - SCRANTON (PA)",13.7055399892182,10.0429475617791,2.21356179244341
"10042","20200310_WILKES BARRE (PA) - SCRANTON (PA)",8.87275328945179,7.73920321058481,1.17808762553826
"10043","20200311_WILKES BARRE (PA) - SCRANTON (PA)",8.99027240720651,11.358538598231,0.845907902005284
"10044","20200312_WILKES BARRE (PA) - SCRANTON (PA)",9.13044065675893,23.9675527277326,0.379603069489461
"10045","20200313_WILKES BARRE (PA) - SCRANTON (PA)",4.21268660193141,26.5165467578018,-1.44904128370149
"10046","20200314_WILKES BARRE (PA) - SCRANTON (PA)",1.00397263282597,20.996792742907,-0.229933512142852
"10047","20200315_WILKES BARRE (PA) - SCRANTON (PA)",1.96018848209354,18.3542717949059,-2.08814932147777
"10048","20200316_WILKES BARRE (PA) - SCRANTON (PA)",5.3679600407313,32.6593006462433,-11.9914803697763
