"","Group.1","Date","DMA","Total_Cases","Total_Deaths","CaseLagDay-1","NewCasesPerDay","DeathLagDay-1","NewDeathsPerDay","CaseLagDay-2","CaseLagDay-3","CaseLagDay-4","CaseLagDay-5","CaseLagDay-6","CaseLagDay-7","CaseLagDay-8","CaseLagDay-9","CaseLagDay-10","CaseLagDay-11","CaseLagDay-12","CaseLagDay-13","CaseLagDay-14","CaseLagDay+1","CaseLagDay+2","CaseLagDay+3","CaseLagDay+4","CaseLagDay+5","CaseLagDay+6","CaseLagDay+7","CaseLagDay+8","CaseLagDay+9","CaseLagDay+10","CaseLagDay+11","CaseLagDay+12","CaseLagDay+13","CaseLagDay+14"
"7567","20200320_SPOKANE (WA)",20200320,"SPOKANE (WA)",28,0,19,9,0,0,15,15,15,10,9,6,5,4,4,4,4,4,4,33,45,61,69,101,128,165,193,242,266,272,304,366,379
"7568","20200321_SPOKANE (WA)",20200321,"SPOKANE (WA)",33,0,28,5,0,0,19,15,15,15,10,9,6,5,4,4,4,4,4,45,61,69,101,128,165,193,242,266,272,304,366,379,407
"7569","20200322_SPOKANE (WA)",20200322,"SPOKANE (WA)",45,0,33,12,0,0,28,19,15,15,15,10,9,6,5,4,4,4,4,61,69,101,128,165,193,242,266,272,304,366,379,407,433
"7570","20200323_SPOKANE (WA)",20200323,"SPOKANE (WA)",61,0,45,16,0,0,33,28,19,15,15,15,10,9,6,5,4,4,4,69,101,128,165,193,242,266,272,304,366,379,407,433,452
"7571","20200324_SPOKANE (WA)",20200324,"SPOKANE (WA)",69,0,61,8,0,0,45,33,28,19,15,15,15,10,9,6,5,4,4,101,128,165,193,242,266,272,304,366,379,407,433,452,464
"7572","20200325_SPOKANE (WA)",20200325,"SPOKANE (WA)",101,0,69,32,0,0,61,45,33,28,19,15,15,15,10,9,6,5,4,128,165,193,242,266,272,304,366,379,407,433,452,464,472
"7573","20200326_SPOKANE (WA)",20200326,"SPOKANE (WA)",128,1,101,27,0,1,69,61,45,33,28,19,15,15,15,10,9,6,5,165,193,242,266,272,304,366,379,407,433,452,464,472,494
"7574","20200327_SPOKANE (WA)",20200327,"SPOKANE (WA)",165,4,128,37,1,3,101,69,61,45,33,28,19,15,15,15,10,9,6,193,242,266,272,304,366,379,407,433,452,464,472,494,508
"7575","20200328_SPOKANE (WA)",20200328,"SPOKANE (WA)",193,5,165,28,4,1,128,101,69,61,45,33,28,19,15,15,15,10,9,242,266,272,304,366,379,407,433,452,464,472,494,508,526
"7576","20200329_SPOKANE (WA)",20200329,"SPOKANE (WA)",242,7,193,49,5,2,165,128,101,69,61,45,33,28,19,15,15,15,10,266,272,304,366,379,407,433,452,464,472,494,508,526,561
"7577","20200330_SPOKANE (WA)",20200330,"SPOKANE (WA)",266,6,242,24,7,-1,193,165,128,101,69,61,45,33,28,19,15,15,15,272,304,366,379,407,433,452,464,472,494,508,526,561,568
"7578","20200331_SPOKANE (WA)",20200331,"SPOKANE (WA)",272,7,266,6,6,1,242,193,165,128,101,69,61,45,33,28,19,15,15,304,366,379,407,433,452,464,472,494,508,526,561,568,571
"7579","20200401_SPOKANE (WA)",20200401,"SPOKANE (WA)",304,7,272,32,7,0,266,242,193,165,128,101,69,61,45,33,28,19,15,366,379,407,433,452,464,472,494,508,526,561,568,571,593
"7580","20200402_SPOKANE (WA)",20200402,"SPOKANE (WA)",366,8,304,62,7,1,272,266,242,193,165,128,101,69,61,45,33,28,19,379,407,433,452,464,472,494,508,526,561,568,571,593,607
"7581","20200403_SPOKANE (WA)",20200403,"SPOKANE (WA)",379,10,366,13,8,2,304,272,266,242,193,165,128,101,69,61,45,33,28,407,433,452,464,472,494,508,526,561,568,571,593,607,624
"7582","20200404_SPOKANE (WA)",20200404,"SPOKANE (WA)",407,14,379,28,10,4,366,304,272,266,242,193,165,128,101,69,61,45,33,433,452,464,472,494,508,526,561,568,571,593,607,624,631
"7583","20200405_SPOKANE (WA)",20200405,"SPOKANE (WA)",433,15,407,26,14,1,379,366,304,272,266,242,193,165,128,101,69,61,45,452,464,472,494,508,526,561,568,571,593,607,624,631,638
"7584","20200406_SPOKANE (WA)",20200406,"SPOKANE (WA)",452,17,433,19,15,2,407,379,366,304,272,266,242,193,165,128,101,69,61,464,472,494,508,526,561,568,571,593,607,624,631,638,660
"7585","20200407_SPOKANE (WA)",20200407,"SPOKANE (WA)",464,18,452,12,17,1,433,407,379,366,304,272,266,242,193,165,128,101,69,472,494,508,526,561,568,571,593,607,624,631,638,660,668
"7586","20200408_SPOKANE (WA)",20200408,"SPOKANE (WA)",472,18,464,8,18,0,452,433,407,379,366,304,272,266,242,193,165,128,101,494,508,526,561,568,571,593,607,624,631,638,660,668,NA
"7587","20200409_SPOKANE (WA)",20200409,"SPOKANE (WA)",494,22,472,22,18,4,464,452,433,407,379,366,304,272,266,242,193,165,128,508,526,561,568,571,593,607,624,631,638,660,668,NA,NA
"7588","20200410_SPOKANE (WA)",20200410,"SPOKANE (WA)",508,22,494,14,22,0,472,464,452,433,407,379,366,304,272,266,242,193,165,526,561,568,571,593,607,624,631,638,660,668,NA,NA,NA
"7589","20200411_SPOKANE (WA)",20200411,"SPOKANE (WA)",526,22,508,18,22,0,494,472,464,452,433,407,379,366,304,272,266,242,193,561,568,571,593,607,624,631,638,660,668,NA,NA,NA,NA
"7590","20200412_SPOKANE (WA)",20200412,"SPOKANE (WA)",561,22,526,35,22,0,508,494,472,464,452,433,407,379,366,304,272,266,242,568,571,593,607,624,631,638,660,668,NA,NA,NA,NA,NA
"7591","20200413_SPOKANE (WA)",20200413,"SPOKANE (WA)",568,25,561,7,22,3,526,508,494,472,464,452,433,407,379,366,304,272,266,571,593,607,624,631,638,660,668,NA,NA,NA,NA,NA,NA
"7592","20200414_SPOKANE (WA)",20200414,"SPOKANE (WA)",571,30,568,3,25,5,561,526,508,494,472,464,452,433,407,379,366,304,272,593,607,624,631,638,660,668,NA,NA,NA,NA,NA,NA,NA
"7593","20200415_SPOKANE (WA)",20200415,"SPOKANE (WA)",593,31,571,22,30,1,568,561,526,508,494,472,464,452,433,407,379,366,304,607,624,631,638,660,668,NA,NA,NA,NA,NA,NA,NA,NA
"7594","20200416_SPOKANE (WA)",20200416,"SPOKANE (WA)",607,30,593,14,31,-1,571,568,561,526,508,494,472,464,452,433,407,379,366,624,631,638,660,668,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7595","20200417_SPOKANE (WA)",20200417,"SPOKANE (WA)",624,31,607,17,30,1,593,571,568,561,526,508,494,472,464,452,433,407,379,631,638,660,668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7596","20200418_SPOKANE (WA)",20200418,"SPOKANE (WA)",631,31,624,7,31,0,607,593,571,568,561,526,508,494,472,464,452,433,407,638,660,668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7597","20200419_SPOKANE (WA)",20200419,"SPOKANE (WA)",638,31,631,7,31,0,624,607,593,571,568,561,526,508,494,472,464,452,433,660,668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7598","20200420_SPOKANE (WA)",20200420,"SPOKANE (WA)",660,32,638,22,31,1,631,624,607,593,571,568,561,526,508,494,472,464,452,668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7599","20200421_SPOKANE (WA)",20200421,"SPOKANE (WA)",668,35,660,8,32,3,638,631,624,607,593,571,568,561,526,508,494,472,464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7600","20200315_SPRINGFIELD (MA) - HOLYOKE (MA)",20200315,"SPRINGFIELD (MA) - HOLYOKE (MA)",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,5,6,13,18,23,37,70,88,134,252,279
"7601","20200316_SPRINGFIELD (MA) - HOLYOKE (MA)",20200316,"SPRINGFIELD (MA) - HOLYOKE (MA)",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,6,13,18,23,37,70,88,134,252,279,350
"7602","20200317_SPRINGFIELD (MA) - HOLYOKE (MA)",20200317,"SPRINGFIELD (MA) - HOLYOKE (MA)",1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,13,18,23,37,70,88,134,252,279,350,484
"7603","20200318_SPRINGFIELD (MA) - HOLYOKE (MA)",20200318,"SPRINGFIELD (MA) - HOLYOKE (MA)",3,0,1,2,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,13,18,23,37,70,88,134,252,279,350,484,628
"7604","20200319_SPRINGFIELD (MA) - HOLYOKE (MA)",20200319,"SPRINGFIELD (MA) - HOLYOKE (MA)",5,0,3,2,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13,18,23,37,70,88,134,252,279,350,484,628,733
"7605","20200320_SPRINGFIELD (MA) - HOLYOKE (MA)",20200320,"SPRINGFIELD (MA) - HOLYOKE (MA)",6,0,5,1,0,0,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,18,23,37,70,88,134,252,279,350,484,628,733,864
"7606","20200321_SPRINGFIELD (MA) - HOLYOKE (MA)",20200321,"SPRINGFIELD (MA) - HOLYOKE (MA)",13,0,6,7,0,0,5,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,18,23,37,70,88,134,252,279,350,484,628,733,864,953
"7607","20200322_SPRINGFIELD (MA) - HOLYOKE (MA)",20200322,"SPRINGFIELD (MA) - HOLYOKE (MA)",18,1,13,5,0,1,6,5,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,23,37,70,88,134,252,279,350,484,628,733,864,953,996
"7608","20200323_SPRINGFIELD (MA) - HOLYOKE (MA)",20200323,"SPRINGFIELD (MA) - HOLYOKE (MA)",23,1,18,5,1,0,13,6,5,3,1,1,1,NA,NA,NA,NA,NA,NA,37,70,88,134,252,279,350,484,628,733,864,953,996,1143
"7609","20200324_SPRINGFIELD (MA) - HOLYOKE (MA)",20200324,"SPRINGFIELD (MA) - HOLYOKE (MA)",37,1,23,14,1,0,18,13,6,5,3,1,1,1,NA,NA,NA,NA,NA,70,88,134,252,279,350,484,628,733,864,953,996,1143,1273
"7610","20200325_SPRINGFIELD (MA) - HOLYOKE (MA)",20200325,"SPRINGFIELD (MA) - HOLYOKE (MA)",70,1,37,33,1,0,23,18,13,6,5,3,1,1,1,NA,NA,NA,NA,88,134,252,279,350,484,628,733,864,953,996,1143,1273,1362
"7611","20200326_SPRINGFIELD (MA) - HOLYOKE (MA)",20200326,"SPRINGFIELD (MA) - HOLYOKE (MA)",88,3,70,18,1,2,37,23,18,13,6,5,3,1,1,1,NA,NA,NA,134,252,279,350,484,628,733,864,953,996,1143,1273,1362,1581
"7612","20200327_SPRINGFIELD (MA) - HOLYOKE (MA)",20200327,"SPRINGFIELD (MA) - HOLYOKE (MA)",134,4,88,46,3,1,70,37,23,18,13,6,5,3,1,1,1,NA,NA,252,279,350,484,628,733,864,953,996,1143,1273,1362,1581,1723
"7613","20200328_SPRINGFIELD (MA) - HOLYOKE (MA)",20200328,"SPRINGFIELD (MA) - HOLYOKE (MA)",252,7,134,118,4,3,88,70,37,23,18,13,6,5,3,1,1,1,NA,279,350,484,628,733,864,953,996,1143,1273,1362,1581,1723,1887
"7614","20200329_SPRINGFIELD (MA) - HOLYOKE (MA)",20200329,"SPRINGFIELD (MA) - HOLYOKE (MA)",279,7,252,27,7,0,134,88,70,37,23,18,13,6,5,3,1,1,1,350,484,628,733,864,953,996,1143,1273,1362,1581,1723,1887,2009
"7615","20200330_SPRINGFIELD (MA) - HOLYOKE (MA)",20200330,"SPRINGFIELD (MA) - HOLYOKE (MA)",350,7,279,71,7,0,252,134,88,70,37,23,18,13,6,5,3,1,1,484,628,733,864,953,996,1143,1273,1362,1581,1723,1887,2009,2066
"7616","20200331_SPRINGFIELD (MA) - HOLYOKE (MA)",20200331,"SPRINGFIELD (MA) - HOLYOKE (MA)",484,17,350,134,7,10,279,252,134,88,70,37,23,18,13,6,5,3,1,628,733,864,953,996,1143,1273,1362,1581,1723,1887,2009,2066,2186
"7617","20200401_SPRINGFIELD (MA) - HOLYOKE (MA)",20200401,"SPRINGFIELD (MA) - HOLYOKE (MA)",628,25,484,144,17,8,350,279,252,134,88,70,37,23,18,13,6,5,3,733,864,953,996,1143,1273,1362,1581,1723,1887,2009,2066,2186,2284
"7618","20200402_SPRINGFIELD (MA) - HOLYOKE (MA)",20200402,"SPRINGFIELD (MA) - HOLYOKE (MA)",733,30,628,105,25,5,484,350,279,252,134,88,70,37,23,18,13,6,5,864,953,996,1143,1273,1362,1581,1723,1887,2009,2066,2186,2284,2403
"7619","20200403_SPRINGFIELD (MA) - HOLYOKE (MA)",20200403,"SPRINGFIELD (MA) - HOLYOKE (MA)",864,42,733,131,30,12,628,484,350,279,252,134,88,70,37,23,18,13,6,953,996,1143,1273,1362,1581,1723,1887,2009,2066,2186,2284,2403,2565
"7620","20200404_SPRINGFIELD (MA) - HOLYOKE (MA)",20200404,"SPRINGFIELD (MA) - HOLYOKE (MA)",953,50,864,89,42,8,733,628,484,350,279,252,134,88,70,37,23,18,13,996,1143,1273,1362,1581,1723,1887,2009,2066,2186,2284,2403,2565,2737
"7621","20200405_SPRINGFIELD (MA) - HOLYOKE (MA)",20200405,"SPRINGFIELD (MA) - HOLYOKE (MA)",996,50,953,43,50,0,864,733,628,484,350,279,252,134,88,70,37,23,18,1143,1273,1362,1581,1723,1887,2009,2066,2186,2284,2403,2565,2737,2835
"7622","20200406_SPRINGFIELD (MA) - HOLYOKE (MA)",20200406,"SPRINGFIELD (MA) - HOLYOKE (MA)",1143,55,996,147,50,5,953,864,733,628,484,350,279,252,134,88,70,37,23,1273,1362,1581,1723,1887,2009,2066,2186,2284,2403,2565,2737,2835,2957
"7623","20200407_SPRINGFIELD (MA) - HOLYOKE (MA)",20200407,"SPRINGFIELD (MA) - HOLYOKE (MA)",1273,76,1143,130,55,21,996,953,864,733,628,484,350,279,252,134,88,70,37,1362,1581,1723,1887,2009,2066,2186,2284,2403,2565,2737,2835,2957,3062
"7624","20200408_SPRINGFIELD (MA) - HOLYOKE (MA)",20200408,"SPRINGFIELD (MA) - HOLYOKE (MA)",1362,88,1273,89,76,12,1143,996,953,864,733,628,484,350,279,252,134,88,70,1581,1723,1887,2009,2066,2186,2284,2403,2565,2737,2835,2957,3062,NA
"7625","20200409_SPRINGFIELD (MA) - HOLYOKE (MA)",20200409,"SPRINGFIELD (MA) - HOLYOKE (MA)",1581,106,1362,219,88,18,1273,1143,996,953,864,733,628,484,350,279,252,134,88,1723,1887,2009,2066,2186,2284,2403,2565,2737,2835,2957,3062,NA,NA
"7626","20200410_SPRINGFIELD (MA) - HOLYOKE (MA)",20200410,"SPRINGFIELD (MA) - HOLYOKE (MA)",1723,114,1581,142,106,8,1362,1273,1143,996,953,864,733,628,484,350,279,252,134,1887,2009,2066,2186,2284,2403,2565,2737,2835,2957,3062,NA,NA,NA
"7627","20200411_SPRINGFIELD (MA) - HOLYOKE (MA)",20200411,"SPRINGFIELD (MA) - HOLYOKE (MA)",1887,122,1723,164,114,8,1581,1362,1273,1143,996,953,864,733,628,484,350,279,252,2009,2066,2186,2284,2403,2565,2737,2835,2957,3062,NA,NA,NA,NA
"7628","20200412_SPRINGFIELD (MA) - HOLYOKE (MA)",20200412,"SPRINGFIELD (MA) - HOLYOKE (MA)",2009,135,1887,122,122,13,1723,1581,1362,1273,1143,996,953,864,733,628,484,350,279,2066,2186,2284,2403,2565,2737,2835,2957,3062,NA,NA,NA,NA,NA
"7629","20200413_SPRINGFIELD (MA) - HOLYOKE (MA)",20200413,"SPRINGFIELD (MA) - HOLYOKE (MA)",2066,146,2009,57,135,11,1887,1723,1581,1362,1273,1143,996,953,864,733,628,484,350,2186,2284,2403,2565,2737,2835,2957,3062,NA,NA,NA,NA,NA,NA
"7630","20200414_SPRINGFIELD (MA) - HOLYOKE (MA)",20200414,"SPRINGFIELD (MA) - HOLYOKE (MA)",2186,165,2066,120,146,19,2009,1887,1723,1581,1362,1273,1143,996,953,864,733,628,484,2284,2403,2565,2737,2835,2957,3062,NA,NA,NA,NA,NA,NA,NA
"7631","20200415_SPRINGFIELD (MA) - HOLYOKE (MA)",20200415,"SPRINGFIELD (MA) - HOLYOKE (MA)",2284,184,2186,98,165,19,2066,2009,1887,1723,1581,1362,1273,1143,996,953,864,733,628,2403,2565,2737,2835,2957,3062,NA,NA,NA,NA,NA,NA,NA,NA
"7632","20200416_SPRINGFIELD (MA) - HOLYOKE (MA)",20200416,"SPRINGFIELD (MA) - HOLYOKE (MA)",2403,194,2284,119,184,10,2186,2066,2009,1887,1723,1581,1362,1273,1143,996,953,864,733,2565,2737,2835,2957,3062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7633","20200417_SPRINGFIELD (MA) - HOLYOKE (MA)",20200417,"SPRINGFIELD (MA) - HOLYOKE (MA)",2565,215,2403,162,194,21,2284,2186,2066,2009,1887,1723,1581,1362,1273,1143,996,953,864,2737,2835,2957,3062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7634","20200418_SPRINGFIELD (MA) - HOLYOKE (MA)",20200418,"SPRINGFIELD (MA) - HOLYOKE (MA)",2737,234,2565,172,215,19,2403,2284,2186,2066,2009,1887,1723,1581,1362,1273,1143,996,953,2835,2957,3062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7635","20200419_SPRINGFIELD (MA) - HOLYOKE (MA)",20200419,"SPRINGFIELD (MA) - HOLYOKE (MA)",2835,246,2737,98,234,12,2565,2403,2284,2186,2066,2009,1887,1723,1581,1362,1273,1143,996,2957,3062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7636","20200420_SPRINGFIELD (MA) - HOLYOKE (MA)",20200420,"SPRINGFIELD (MA) - HOLYOKE (MA)",2957,259,2835,122,246,13,2737,2565,2403,2284,2186,2066,2009,1887,1723,1581,1362,1273,1143,3062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7637","20200421_SPRINGFIELD (MA) - HOLYOKE (MA)",20200421,"SPRINGFIELD (MA) - HOLYOKE (MA)",3062,283,2957,105,259,24,2835,2737,2565,2403,2284,2186,2066,2009,1887,1723,1581,1362,1273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7638","20200312_SPRINGFIELD (MO)",20200312,"SPRINGFIELD (MO)",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,4,4,7,12,14,14,23,28,32,35
"7639","20200313_SPRINGFIELD (MO)",20200313,"SPRINGFIELD (MO)",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,4,7,12,14,14,23,28,32,35,46
"7640","20200314_SPRINGFIELD (MO)",20200314,"SPRINGFIELD (MO)",2,0,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,7,12,14,14,23,28,32,35,46,64
"7641","20200315_SPRINGFIELD (MO)",20200315,"SPRINGFIELD (MO)",2,0,2,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,7,12,14,14,23,28,32,35,46,64,70
"7642","20200316_SPRINGFIELD (MO)",20200316,"SPRINGFIELD (MO)",3,0,2,1,0,0,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,7,12,14,14,23,28,32,35,46,64,70,87
"7643","20200317_SPRINGFIELD (MO)",20200317,"SPRINGFIELD (MO)",4,0,3,1,0,0,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,12,14,14,23,28,32,35,46,64,70,87,100
"7644","20200318_SPRINGFIELD (MO)",20200318,"SPRINGFIELD (MO)",4,0,4,0,0,0,3,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,7,12,14,14,23,28,32,35,46,64,70,87,100,112
"7645","20200319_SPRINGFIELD (MO)",20200319,"SPRINGFIELD (MO)",7,0,4,3,0,0,4,3,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,12,14,14,23,28,32,35,46,64,70,87,100,112,121
"7646","20200320_SPRINGFIELD (MO)",20200320,"SPRINGFIELD (MO)",12,0,7,5,0,0,4,4,3,2,2,1,1,NA,NA,NA,NA,NA,NA,14,14,23,28,32,35,46,64,70,87,100,112,121,136
"7647","20200321_SPRINGFIELD (MO)",20200321,"SPRINGFIELD (MO)",14,0,12,2,0,0,7,4,4,3,2,2,1,1,NA,NA,NA,NA,NA,14,23,28,32,35,46,64,70,87,100,112,121,136,141
"7648","20200322_SPRINGFIELD (MO)",20200322,"SPRINGFIELD (MO)",14,0,14,0,0,0,12,7,4,4,3,2,2,1,1,NA,NA,NA,NA,23,28,32,35,46,64,70,87,100,112,121,136,141,146
"7649","20200323_SPRINGFIELD (MO)",20200323,"SPRINGFIELD (MO)",23,0,14,9,0,0,14,12,7,4,4,3,2,2,1,1,NA,NA,NA,28,32,35,46,64,70,87,100,112,121,136,141,146,156
"7650","20200324_SPRINGFIELD (MO)",20200324,"SPRINGFIELD (MO)",28,1,23,5,0,1,14,14,12,7,4,4,3,2,2,1,1,NA,NA,32,35,46,64,70,87,100,112,121,136,141,146,156,170
"7651","20200325_SPRINGFIELD (MO)",20200325,"SPRINGFIELD (MO)",32,3,28,4,1,2,23,14,14,12,7,4,4,3,2,2,1,1,NA,35,46,64,70,87,100,112,121,136,141,146,156,170,176
"7652","20200326_SPRINGFIELD (MO)",20200326,"SPRINGFIELD (MO)",35,3,32,3,3,0,28,23,14,14,12,7,4,4,3,2,2,1,1,46,64,70,87,100,112,121,136,141,146,156,170,176,177
"7653","20200327_SPRINGFIELD (MO)",20200327,"SPRINGFIELD (MO)",46,3,35,11,3,0,32,28,23,14,14,12,7,4,4,3,2,2,1,64,70,87,100,112,121,136,141,146,156,170,176,177,176
"7654","20200328_SPRINGFIELD (MO)",20200328,"SPRINGFIELD (MO)",64,4,46,18,3,1,35,32,28,23,14,14,12,7,4,4,3,2,2,70,87,100,112,121,136,141,146,156,170,176,177,176,177
"7655","20200329_SPRINGFIELD (MO)",20200329,"SPRINGFIELD (MO)",70,4,64,6,4,0,46,35,32,28,23,14,14,12,7,4,4,3,2,87,100,112,121,136,141,146,156,170,176,177,176,177,177
"7656","20200330_SPRINGFIELD (MO)",20200330,"SPRINGFIELD (MO)",87,4,70,17,4,0,64,46,35,32,28,23,14,14,12,7,4,4,3,100,112,121,136,141,146,156,170,176,177,176,177,177,179
"7657","20200331_SPRINGFIELD (MO)",20200331,"SPRINGFIELD (MO)",100,4,87,13,4,0,70,64,46,35,32,28,23,14,14,12,7,4,4,112,121,136,141,146,156,170,176,177,176,177,177,179,186
"7658","20200401_SPRINGFIELD (MO)",20200401,"SPRINGFIELD (MO)",112,8,100,12,4,4,87,70,64,46,35,32,28,23,14,14,12,7,4,121,136,141,146,156,170,176,177,176,177,177,179,186,199
"7659","20200402_SPRINGFIELD (MO)",20200402,"SPRINGFIELD (MO)",121,8,112,9,8,0,100,87,70,64,46,35,32,28,23,14,14,12,7,136,141,146,156,170,176,177,176,177,177,179,186,199,206
"7660","20200403_SPRINGFIELD (MO)",20200403,"SPRINGFIELD (MO)",136,9,121,15,8,1,112,100,87,70,64,46,35,32,28,23,14,14,12,141,146,156,170,176,177,176,177,177,179,186,199,206,216
"7661","20200404_SPRINGFIELD (MO)",20200404,"SPRINGFIELD (MO)",141,9,136,5,9,0,121,112,100,87,70,64,46,35,32,28,23,14,14,146,156,170,176,177,176,177,177,179,186,199,206,216,224
"7662","20200405_SPRINGFIELD (MO)",20200405,"SPRINGFIELD (MO)",146,9,141,5,9,0,136,121,112,100,87,70,64,46,35,32,28,23,14,156,170,176,177,176,177,177,179,186,199,206,216,224,229
"7663","20200406_SPRINGFIELD (MO)",20200406,"SPRINGFIELD (MO)",156,9,146,10,9,0,141,136,121,112,100,87,70,64,46,35,32,28,23,170,176,177,176,177,177,179,186,199,206,216,224,229,235
"7664","20200407_SPRINGFIELD (MO)",20200407,"SPRINGFIELD (MO)",170,9,156,14,9,0,146,141,136,121,112,100,87,70,64,46,35,32,28,176,177,176,177,177,179,186,199,206,216,224,229,235,237
"7665","20200408_SPRINGFIELD (MO)",20200408,"SPRINGFIELD (MO)",176,9,170,6,9,0,156,146,141,136,121,112,100,87,70,64,46,35,32,177,176,177,177,179,186,199,206,216,224,229,235,237,NA
"7666","20200409_SPRINGFIELD (MO)",20200409,"SPRINGFIELD (MO)",177,11,176,1,9,2,170,156,146,141,136,121,112,100,87,70,64,46,35,176,177,177,179,186,199,206,216,224,229,235,237,NA,NA
"7667","20200410_SPRINGFIELD (MO)",20200410,"SPRINGFIELD (MO)",176,11,177,-1,11,0,176,170,156,146,141,136,121,112,100,87,70,64,46,177,177,179,186,199,206,216,224,229,235,237,NA,NA,NA
"7668","20200411_SPRINGFIELD (MO)",20200411,"SPRINGFIELD (MO)",177,11,176,1,11,0,177,176,170,156,146,141,136,121,112,100,87,70,64,177,179,186,199,206,216,224,229,235,237,NA,NA,NA,NA
"7669","20200412_SPRINGFIELD (MO)",20200412,"SPRINGFIELD (MO)",177,11,177,0,11,0,176,177,176,170,156,146,141,136,121,112,100,87,70,179,186,199,206,216,224,229,235,237,NA,NA,NA,NA,NA
"7670","20200413_SPRINGFIELD (MO)",20200413,"SPRINGFIELD (MO)",179,11,177,2,11,0,177,176,177,176,170,156,146,141,136,121,112,100,87,186,199,206,216,224,229,235,237,NA,NA,NA,NA,NA,NA
"7671","20200414_SPRINGFIELD (MO)",20200414,"SPRINGFIELD (MO)",186,11,179,7,11,0,177,177,176,177,176,170,156,146,141,136,121,112,100,199,206,216,224,229,235,237,NA,NA,NA,NA,NA,NA,NA
"7672","20200415_SPRINGFIELD (MO)",20200415,"SPRINGFIELD (MO)",199,11,186,13,11,0,179,177,177,176,177,176,170,156,146,141,136,121,112,206,216,224,229,235,237,NA,NA,NA,NA,NA,NA,NA,NA
"7673","20200416_SPRINGFIELD (MO)",20200416,"SPRINGFIELD (MO)",206,11,199,7,11,0,186,179,177,177,176,177,176,170,156,146,141,136,121,216,224,229,235,237,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7674","20200417_SPRINGFIELD (MO)",20200417,"SPRINGFIELD (MO)",216,11,206,10,11,0,199,186,179,177,177,176,177,176,170,156,146,141,136,224,229,235,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7675","20200418_SPRINGFIELD (MO)",20200418,"SPRINGFIELD (MO)",224,11,216,8,11,0,206,199,186,179,177,177,176,177,176,170,156,146,141,229,235,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7676","20200419_SPRINGFIELD (MO)",20200419,"SPRINGFIELD (MO)",229,11,224,5,11,0,216,206,199,186,179,177,177,176,177,176,170,156,146,235,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7677","20200420_SPRINGFIELD (MO)",20200420,"SPRINGFIELD (MO)",235,11,229,6,11,0,224,216,206,199,186,179,177,177,176,177,176,170,156,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678","20200421_SPRINGFIELD (MO)",20200421,"SPRINGFIELD (MO)",237,11,235,2,11,0,229,224,216,206,199,186,179,177,177,176,177,176,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
