"","Category","Total Cases","Total Deaths"
"372","20200303_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",22,0
"373","20200303_SEATTLE (WA) - TACOMA (WA)",27,10
"374","20200303_SPOKANE (WA)",4,0
"375","20200303_TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL)",3,0
"376","20200303_YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA)",1,0
"377","20200304_ATLANTA (GA)",2,0
"378","20200304_BOSTON (MA) - MANCHESTER (NH)",2,0
"379","20200304_BURLINGTON (VT) - PLATTSBURGH (NY)",2,0
"380","20200304_CHICAGO (IL)",4,0
"381","20200304_EUREKA (CA)",1,0
"382","20200304_HOUSTON (TX)",1,0
"383","20200304_LOS ANGELES (CA)",10,0
"384","20200304_MADISON (WI)",1,0
"385","20200304_NEW YORK (NY)",12,0
"386","20200304_OMAHA (NE)",13,0
"387","20200304_PHOENIX (AZ)",2,0
"388","20200304_PORTLAND (OR)",2,0
"389","20200304_PROVIDENCE (RI) - NEW BEDFORD (MA)",2,0
"390","20200304_RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC)",1,0
"391","20200304_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",17,1
"392","20200304_SALT LAKE CITY (UT)",1,0
"393","20200304_SAN ANTONIO (TX)",11,0
"394","20200304_SAN DIEGO (CA)",1,0
"395","20200304_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",26,0
"396","20200304_SEATTLE (WA) - TACOMA (WA)",42,11
"397","20200304_SPOKANE (WA)",4,0
"398","20200304_TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL)",3,0
"399","20200304_YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA)",1,0
"400","20200305_ATLANTA (GA)",2,0
"401","20200305_BOSTON (MA) - MANCHESTER (NH)",3,0
"402","20200305_BURLINGTON (VT) - PLATTSBURGH (NY)",2,0
"403","20200305_CHICAGO (IL)",5,0
"404","20200305_DENVER (CO)",2,0
"405","20200305_EUREKA (CA)",1,0
"406","20200305_HOUSTON (TX)",5,0
"407","20200305_LAS VEGAS (NV)",1,0
"408","20200305_LOS ANGELES (CA)",14,0
"409","20200305_MADISON (WI)",1,0
"410","20200305_MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)",1,0
"411","20200305_NASHVILLE (TN)",1,0
"412","20200305_NEW YORK (NY)",24,0
"413","20200305_OMAHA (NE)",13,0
"414","20200305_PHOENIX (AZ)",2,0
"415","20200305_PORTLAND (OR)",2,0
"416","20200305_PROVIDENCE (RI) - NEW BEDFORD (MA)",2,0
"417","20200305_RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC)",1,0
"418","20200305_RENO (NV)",1,0
"419","20200305_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",17,1
"420","20200305_SALT LAKE CITY (UT)",1,0
"421","20200305_SAN ANTONIO (TX)",11,0
"422","20200305_SAN DIEGO (CA)",1,0
"423","20200305_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",34,0
"424","20200305_SEATTLE (WA) - TACOMA (WA)",70,11
"425","20200305_SPOKANE (WA)",4,0
"426","20200305_TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL)",3,0
"427","20200305_WASHINGTON (DC) - HAGERSTOWN (MD)",3,0
"428","20200305_YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA)",1,0
"429","20200306_ATLANTA (GA)",3,0
"430","20200306_BOSTON (MA) - MANCHESTER (NH)",8,0
"431","20200306_BURLINGTON (VT) - PLATTSBURGH (NY)",2,0
"432","20200306_CHARLESTON (SC)",1,0
"433","20200306_CHICAGO (IL)",6,0
"434","20200306_COLORADO SPRINGS (CO) - PUEBLO (CO)",1,0
"435","20200306_COLUMBIA (SC)",1,0
"436","20200306_DENVER (CO)",7,0
"437","20200306_EUREKA (CA)",1,0
"438","20200306_FT. MYERS (FL) - NAPLES (FL)",1,1
"439","20200306_HONOLULU (HI)",1,0
"440","20200306_HOUSTON (TX)",8,0
"441","20200306_INDIANAPOLIS (IN)",1,0
"442","20200306_LAS VEGAS (NV)",1,0
"443","20200306_LEXINGTON (KY)",1,0
"444","20200306_LOS ANGELES (CA)",16,0
"445","20200306_MADISON (WI)",1,0
"446","20200306_MIAMI (FL) - FT. LAUDERDALE (FL)",2,0
"447","20200306_MINNEAPOLIS (MN) - ST. PAUL (MN)",1,0
"448","20200306_MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)",1,1
"449","20200306_NASHVILLE (TN)",1,0
"450","20200306_NEW YORK (NY)",47,0
"451","20200306_OMAHA (NE)",14,0
"452","20200306_PHILADELPHIA (PA)",2,0
"453","20200306_PHOENIX (AZ)",3,0
"454","20200306_PORTLAND (OR)",3,0
"455","20200306_PROVIDENCE (RI) - NEW BEDFORD (MA)",3,0
"456","20200306_RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC)",2,0
"457","20200306_RENO (NV)",1,0
"458","20200306_SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)",21,1
"459","20200306_SALT LAKE CITY (UT)",3,0
"460","20200306_SAN ANTONIO (TX)",11,0
"461","20200306_SAN DIEGO (CA)",1,0
"462","20200306_SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)",42,0
"463","20200306_SEATTLE (WA) - TACOMA (WA)",80,12
"464","20200306_SPOKANE (WA)",4,0
"465","20200306_TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL)",3,0
"466","20200306_TULSA (OK)",1,0
"467","20200306_WASHINGTON (DC) - HAGERSTOWN (MD)",3,0
"468","20200306_WILKES BARRE (PA) - SCRANTON (PA)",1,0
"469","20200306_YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA)",1,0
"470","20200307_ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)",4,0
"471","20200307_ATLANTA (GA)",7,0
